Title,Status,Date,Role,Pros,Cons,Advice to Management,Ratings
"Amazing opportunities, stressful deadlines",Current Employee,2025-02-10,Infrastructure Engineer,Leaders invest in learning and provide tools for career growth and mentorship.,Performance reviews are intense. One bad cycle can heavily impact your trajectory.,Create more stability in teams—reduce reorg frequency.,2.1
Incredible culture and fast-paced,Former Employee,2024-06-03,Infrastructure Engineer,Clear communication and access to leadership through Q&As.,"A lot of decisions come top-down, sometimes without team input.",Celebrate failure as part of learning more actively.,3.8
Too many reorgs,Former Employee,2025-11-08,Creative Strategist,Clear communication and access to leadership through Q&As.,Sometimes politics and visibility matter more than impact.,Preserve the culture of innovation without driving burnout.,3.3
"Amazing opportunities, stressful deadlines",Current Employee,2024-06-21,Research Scientist,Opportunities to switch teams and explore new areas are encouraged.,Performance reviews are intense. One bad cycle can heavily impact your trajectory.,Empower ICs more in decision-making processes.,4.4
Work with brilliant people,Former Employee,2024-03-17,UX Researcher,Company embraces diversity and gives space for internal communities.,Performance reviews are intense. One bad cycle can heavily impact your trajectory.,Celebrate failure as part of learning more actively.,2.6
Too many reorgs,Former Employee,2024-02-20,Technical Program Manager,Company embraces diversity and gives space for internal communities.,Hard to navigate promotion paths in large orgs.,Celebrate failure as part of learning more actively.,3.0
Learning never stops,Former Employee,2025-05-14,Infrastructure Engineer,Work environment encourages innovation and experimentation. You can own big projects.,The pace is relentless and can cause burnout. You're expected to deliver fast.,Invest more in manager training and people development.,3.1
Learning never stops,Current Employee,2025-10-13,Product Manager,Work environment encourages innovation and experimentation. You can own big projects.,Performance reviews are intense. One bad cycle can heavily impact your trajectory.,Celebrate failure as part of learning more actively.,3.3
Strong mission but intense work,Former Employee,2025-05-26,DevOps Engineer,Compensation and benefits are top-tier. The RSUs and bonuses make a huge difference.,Focus on metrics can overshadow user empathy and experience.,Review performance management system to reduce unnecessary pressure.,4.1
Unmatched tech stack,Former Employee,2024-05-30,Software Engineer,You're surrounded by incredibly smart and motivated individuals. It's energizing.,Work-life balance depends heavily on your team and manager.,Review performance management system to reduce unnecessary pressure.,4.3
Strong leadership vision,Former Employee,2025-03-18,Infrastructure Engineer,Opportunities to switch teams and explore new areas are encouraged.,Focus on metrics can overshadow user empathy and experience.,Invest more in manager training and people development.,4.6
Unmatched tech stack,Former Employee,2025-12-19,Creative Strategist,Leaders invest in learning and provide tools for career growth and mentorship.,Processes and documentation can lag behind speed of execution.,Ensure transparency remains even through difficult transitions.,4.5
Learning never stops,Former Employee,2024-04-13,Backend Engineer,Work environment encourages innovation and experimentation. You can own big projects.,The pace is relentless and can cause burnout. You're expected to deliver fast.,Empower ICs more in decision-making processes.,3.9
Cutting-edge but chaotic,Current Employee,2024-05-22,Software Engineer,Work on products used by billions. Impact is real and immediate.,The pace is relentless and can cause burnout. You're expected to deliver fast.,Celebrate failure as part of learning more actively.,3.6
Work with brilliant people,Current Employee,2025-09-10,Security Analyst,Leaders invest in learning and provide tools for career growth and mentorship.,The pace is relentless and can cause burnout. You're expected to deliver fast.,Celebrate failure as part of learning more actively.,3.2
Strong leadership vision,Current Employee,2024-05-14,Creative Strategist,Work environment encourages innovation and experimentation. You can own big projects.,Post-layoff culture has made people anxious. Trust needs rebuilding.,Invest more in manager training and people development.,4.0
Flexible but intense,Former Employee,2024-02-18,Technical Program Manager,Leaders invest in learning and provide tools for career growth and mentorship.,Sometimes politics and visibility matter more than impact.,Preserve the culture of innovation without driving burnout.,4.3
High expectations with great rewards,Former Employee,2025-11-17,Infrastructure Engineer,"Great food, wellness benefits, and flexibility with remote work. Lots of autonomy.",Processes and documentation can lag behind speed of execution.,Give more space to bottom-up innovation and support product experimentation.,2.6
Growth and burnout go hand in hand,Current Employee,2024-09-25,Infrastructure Engineer,Work on products used by billions. Impact is real and immediate.,Performance reviews are intense. One bad cycle can heavily impact your trajectory.,Preserve the culture of innovation without driving burnout.,2.1
"Great perks, poor stability",Current Employee,2024-12-31,Product Manager,You're surrounded by incredibly smart and motivated individuals. It's energizing.,Work-life balance depends heavily on your team and manager.,Balance metric-driven focus with user-centered design.,4.2
Strong mission but intense work,Current Employee,2025-12-06,Data Engineer,Company embraces diversity and gives space for internal communities.,Hard to navigate promotion paths in large orgs.,Celebrate failure as part of learning more actively.,4.0
Strong leadership vision,Former Employee,2024-03-29,Product Manager,Clear communication and access to leadership through Q&As.,The pace is relentless and can cause burnout. You're expected to deliver fast.,Review performance management system to reduce unnecessary pressure.,4.6
Innovative and ever-evolving,Former Employee,2025-03-30,UX Researcher,Company embraces diversity and gives space for internal communities.,Work-life balance depends heavily on your team and manager.,Celebrate failure as part of learning more actively.,3.9
